<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
11/08/03,000000,7430.0000000,7875.0000000,7403.0000000,7651.0000000,65934
18/08/03,000000,7650.0000000,7797.0000000,7400.0000000,7530.0000000,86177
25/08/03,000000,7253.5000000,8498.5000000,7253.5000000,7765.0000000,29370
01/09/03,000000,7732.0000000,8500.0000000,7731.0000000,8255.0100000,105824
08/09/03,000000,8210.0500000,8380.0000000,8050.0000000,8250.0000000,35927
15/09/03,000000,8337.5000000,8400.0000000,7900.0000000,7900.0000000,38450
22/09/03,000000,7910.0000000,8100.0000000,7730.0000000,7766.0000000,37399
29/09/03,000000,7806.5000000,8362.0000000,7755.0000000,8298.9800000,59992
06/10/03,000000,8345.0000000,9350.0000000,8050.0800000,8855.0000000,165827
13/10/03,000000,8900.0000000,9350.0000000,8860.0000000,9029.0000000,110893
20/10/03,000000,9020.0000000,9088.0000000,8150.0000000,8329.0100000,93178
27/10/03,000000,7800.0000000,8154.0000000,7000.0000000,7706.9000000,135092
03/11/03,000000,7800.0000000,8175.0000000,7790.0000000,7860.0000000,83718
10/11/03,000000,7900.0000000,7974.9900000,7300.0000000,7500.0200000,55570
17/11/03,000000,7509.5000000,7509.5000000,7007.0000000,7255.0000000,49921
24/11/03,000000,7250.0000000,7769.0000000,7230.0000000,7544.9900000,75218
01/12/03,000000,7512.9800000,7949.9700000,7365.0000000,7751.0000000,59132
08/12/03,000000,7615.5000000,7960.0000000,6900.0000000,7740.0000000,46918
15/12/03,000000,7750.0000000,7850.5000000,7477.0000000,7700.0000000,48086
22/12/03,000000,7700.0000000,7770.0000000,7490.0000000,7618.9900000,32333
29/12/03,000000,7780.5000000,7780.5000000,7510.0000000,7575.0000000,8038
05/01/04,000000,7660.0100000,8671.0000000,7610.0000000,8650.5000000,117273
12/01/04,000000,8700.0000000,8725.0000000,8241.0000000,8520.0000000,80516
19/01/04,000000,8520.0000000,8666.6500000,8381.0000000,8580.0000000,74497
26/01/04,000000,8584.0900000,8715.0000000,8359.0000000,8369.9900000,111137
02/02/04,000000,8368.9900000,8635.0000000,8275.0000000,8560.0000000,65245
09/02/04,000000,8588.7500000,9000.0000000,8565.0000000,8965.0000000,192345
16/02/04,000000,8957.0000000,9448.0000000,8920.0100000,9400.0100000,146417
23/02/04,000000,8905.0000000,9980.0000000,8905.0000000,9840.0000000,184178
01/03/04,000000,9863.0000000,10179.9900000,9475.0000000,10060.0000000,205536
08/03/04,000000,10057.5000000,10300.0000000,9880.0100000,9960.0000000,109456
15/03/04,000000,10024.9900000,11689.9900000,9867.0000000,11640.0000000,286696
22/03/04,000000,11610.0000000,12198.9800000,11341.0000000,11900.0000000,264414
29/03/04,000000,11987.5000000,13339.0000000,11850.0000000,12750.0000000,278875
05/04/04,000000,12730.0000000,13119.0000000,12107.0000000,12467.0000000,201760
12/04/04,000000,12470.0000000,12634.0000000,11740.0000000,11860.0000000,163209
19/04/04,000000,11860.5000000,12100.0000000,11423.9500000,11700.0000000,161891
26/04/04,000000,11750.0000000,12240.0000000,11100.0000000,11126.0000000,239102
03/05/04,000000,11200.0000000,11550.0000000,10550.0000000,10565.0000000,69874
10/05/04,000000,10475.0000000,11569.9000000,9750.0000000,11023.0000000,132535
17/05/04,000000,11022.5000000,12490.0000000,10850.0000000,12300.0000000,237450
24/05/04,000000,12330.0000000,12350.0000000,11525.0100000,11557.0000000,113982
31/05/04,000000,11568.5000000,11870.0000000,10870.0000000,11610.0000000,125540
07/06/04,000000,11709.9900000,12233.5000000,11050.0000000,11399.9700000,132960
14/06/04,000000,11335.5500000,12120.0000000,10310.0000000,11770.0000000,165621
